연번,행정동,설치장소,관리부서,전화번호,위도,경도
1,명서동,경상남도 창원시 의창구 도계동 895,경상남도 창원시 의창구청 환경과,055-212-4521,35.2538182,128.6401674
2,봉림동,경상남도 창원시 의창구 봉림동 680,경상남도 창원시 의창구청 환경과,055-212-4521,35.2519347,128.6675788
3,소답동,경상남도 창원시 의창구 서상동 11-6,경상남도 창원시 의창구청 환경과,055-212-4521,35.26201,128.6229231
4,팔용동,경상남도 창원시 의창구 사화로9번길7-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2580066,128.609428
5,팔용동,경상남도 창원시 의창구 반계로68번길 15,경상남도 창원시 의창구청 환경과,055-212-4521,35.2508473,128.6159449
6,봉곡동,경상남도 창원시 의창구 창이대로309번길54 ,경상남도 창원시 의창구청 환경과,055-212-4521,35.2496157,128.6685337
7,팔용동,경상남도 창원시 의창구 팔용로396번길9,경상남도 창원시 의창구청 환경과,055-212-4521,35.2520569,128.6113942
8,팔용동,경상남도 창원시 의창구 팔용로 416번길 9,경상남도 창원시 의창구청 환경과,055-212-4521,35.2532562,128.6131488
9,팔용동,경상남도 창원시 의창구 팔용로 424번길 23,경상남도 창원시 의창구청 환경과,055-212-4521,35.2531291,128.6148824
10,팔용동,경상남도 창원시 의창구 사화로22번길20,경상남도 창원시 의창구청 환경과,055-212-4521,35.2552138,128.608691
11,팔용동,경상남도 창원시 의창구 사화로80번길25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2515186,128.6138644
12,팔용동,경상남도 창원시 의창구 팔용로395번길22,경상남도 창원시 의창구청 환경과,055-212-4521,35.253727,128.6085076
13,팔용동,경상남도 창원시 의창구 팔용로 396번길 25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2512377,128.612831
14,팔용동,경상남도 창원시 의창구 팔용로 396번길 27,경상남도 창원시 의창구청 환경과,055-212-4521,35.2510769,128.6131259
15,팔용동,경상남도 창원시 의창구 팔용동182번지,경상남도 창원시 의창구청 환경과,055-212-4521,35.2603009,128.6136234
