관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자
1,회현동,서울특별시,중구,서울특별시 중구 퇴계로6길 14,서울특별시 중구 남창동 186,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
2,회현동,서울특별시,중구,서울특별시 중구 퇴계로6가길 37,서울특별시 중구 남창동 205-152,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
3,회현동,서울특별시,중구,서울특별시 중구 퇴계로6길 25,서울특별시 중구 회현동1가 170-1,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
4,회현동,서울특별시,중구,서울특별시 중구 퇴계로8길 51,서울특별시 중구 회현동1가 100-5,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
5,회현동,서울특별시,중구,서울특별시 중구 퇴계로8길 71,서울특별시 중구 회현동1가 100-170,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
6,회현동,서울특별시,중구,서울특별시 중구 퇴계로12가길 18,서울특별시 중구 회현동1가 100-127,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
7,회현동,서울특별시,중구,서울특별시 중구 퇴계로8길 82,서울특별시 중구 회현동1가 100-132,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
8,회현동,서울특별시,중구,서울특별시 중구 소공로3길 36,서울특별시 중구 회현동1가 142-17,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
9,회현동,서울특별시,중구,서울특별시 중구 퇴계로2길 27,서울특별시 중구 남창동205-146,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
10,명동,서울특별시,중구,서울특별시 중구 퇴계로20나길 36,서울특별시 중구 예장동 8-80,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
11,명동,서울특별시,중구,서울특별시 중구 퇴계로20길 25-3,서울특별시 중구 남산동2가 15-17,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
12,명동,서울특별시,중구,서울특별시 중구 퇴계로18길 50,서울특별시 중구 남산동2가 36-1,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
13,명동,서울특별시,중구,서울특별시 중구 소공로6길 34,서울특별시 중구 남산동2가 43-8,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
14,명동,서울특별시,중구,"서울특별시 중구 소공로6길 23,",서울특별시 중구 남산동1가 16-4,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
15,명동,서울특별시,중구,서울특별시 중구 퇴계로18길 92,서울특별시 중구 회현동1가 144-38,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
16,명동,서울특별시,중구,서울특별시 중구 소공로6가길 22,서울특별시 중구 회현동2가 48-30,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
17,명동,서울특별시,중구,서울특별시 중구 퇴계로20나길 12,서울특별시 중구 남산동2가 41-2,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
18,명동,서울특별시,중구,서울특별시 중구 퇴계로 140,서울특별시 중구 남산동3가 11-10,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
19,필동,서울특별시,중구,서울특별시 중구 퇴계로30길 24,서울특별시 중구 예장동 9,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
20,필동,서울특별시,중구,서울특별시 중구 퇴계로32길 28,서울특별시 중구 예장동 1-69,,,건물 앞 도로변,청소행정과,02-3396-5465,2024-11-26
